 Year,Month,Producer Type,Fuel (D Code),FuelCategory,RINs,Volume
2023,2,Domestic,D3,Renewable Compressed Natural Gas,"53,280,009","53,280,009"
2023,2,Domestic,D3,Renewable Liquefied Natural Gas,"4,078,579","4,078,579"
2023,2,Importer,D3,Renewable Liquefied Natural Gas,"3,299,257","3,299,257"
2023,2,Importer,D3,Renewable Compressed Natural Gas,"277,538","277,538"
2023,2,Domestic,D3,Cellulosic Ethanol (EV 1.0),"86,732","86,732"
2023,2,Domestic,D4,Non-ester Renewable Diesel (EV 1.7),"189,289,150","111,346,480"
2023,2,Domestic,D4,Biodiesel (EV 1.5),"172,115,694","114,742,607"
2023,2,Importer,D4,Biodiesel (EV 1.5),"61,194,513","40,796,313"
2023,2,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.7),"45,735,317","26,903,128"
2023,2,Domestic,D4,Non-ester Renewable Diesel (EV 1.6),"44,200,479","27,625,299"
2023,2,Domestic,D4,Renewable Jet Fuel (EV 1.6),"2,525,754","1,578,596"
2023,2,Foreign Generation,D4,Renewable Jet Fuel (EV 1.6),"2,378,048","1,486,280"
2023,2,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.6),"935,130","584,456"
2023,2,Domestic,D5,Naphtha (EV 1.5),"7,848,707","5,232,456"
2023,2,Domestic,D5,Non-ester Renewable Diesel (EV 1.7),"3,567,587","2,098,580"
2023,2,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"2,258,268","2,258,268"
2023,2,Domestic,D5,LPG (EV 1.1),"485,061","440,964"
2023,2,Domestic,D5,Renewable Heating Oil (EV 1.6),"360,302","225,187"
2023,2,Domestic,D5,Renewable Compressed Natural Gas,"81,116","81,116"
2023,2,Domestic,D6,Non-cellulosic Ethanol (EV 1.0),"1,118,067,955","1,118,067,955"
2023,2,Foreign Generation,D6,Non-ester Renewable Diesel (EV 1.7),"11,014,399","6,479,058"
2023,2,Importer,D6,Non-cellulosic Ethanol (EV 1.0),"1,100,346","1,100,346"
2023,3,Domestic,D3,Renewable Compressed Natural Gas,"48,547,128","48,547,128"
2023,3,Domestic,D3,Renewable Liquefied Natural Gas,"3,434,859","3,434,859"
2023,3,Importer,D3,Renewable Liquefied Natural Gas,"3,057,382","3,057,382"
2023,3,Domestic,D3,Cellulosic Ethanol (EV 1.0),"202,916","202,916"
2023,3,Importer,D3,Renewable Compressed Natural Gas,"84,835","84,835"
2023,3,Domestic,D4,Non-ester Renewable Diesel (EV 1.7),"235,381,292","138,459,491"
2023,3,Domestic,D4,Biodiesel (EV 1.5),"196,333,084","130,887,319"
2023,3,Importer,D4,Biodiesel (EV 1.5),"67,182,654","44,788,401"
2023,3,Domestic,D4,Non-ester Renewable Diesel (EV 1.6),"57,484,063","35,927,540"
2023,3,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.7),"56,053,671","32,972,748"
2023,3,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.6),"4,305,698","2,691,061"
2023,3,Foreign Generation,D4,Renewable Jet Fuel (EV 1.6),"2,263,418","1,414,636"
2023,3,Domestic,D4,Renewable Jet Fuel (EV 1.6),"1,275,472","797,170"
2023,3,Domestic,D4,Renewable Heating Oil (EV 1.6),"190,560","119,100"
2023,3,Domestic,D5,Non-ester Renewable Diesel (EV 1.7),"16,637,473","9,786,748"
2023,3,Domestic,D5,Naphtha (EV 1.5),"6,458,707","4,305,799"
2023,3,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"3,125,864","3,125,864"
2023,3,Domestic,D5,LPG (EV 1.1),"595,803","541,639"
2023,3,Domestic,D5,Renewable Heating Oil (EV 1.6),"497,287","310,805"
2023,3,Domestic,D5,Naphtha (EV 1.4),"121,745","86,961"
2023,3,Domestic,D5,Renewable Compressed Natural Gas,"20,698","20,698"
2023,3,Domestic,D6,Non-cellulosic Ethanol (EV 1.0),"1,206,945,599","1,206,945,599"
